Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450072174;FONTAINE_BOIS;GHM Bois;;;RUE JOSEPH KESSEL;PARIS 12EME ARRONDISSEMENT;NON;2020-12-10T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.383454617838451, 48.833691522269426]}";48.8336915223,2.38345461784
450072175;FONTAINE_BOIS;GHM Bois;26F;;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2020-12-22T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.3740086332883132, 48.84821551491661]}";48.8482155149,2.37400863329
450071845;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;AVENUE CHARLES RISLER;PARIS 7EME ARRONDISSEMENT;NON;2020-05-05T02:00:00+00:00;;APP A RENOUVELER;"{""type"": ""Point"", ""coordinates"": [2.300500720357355, 48.853758452888066]}";48.8537584529,2.30050072036
450071931;FONTAINE_BOIS;GHM Bois;;155F;QUAI DE VALMY;PARIS 10EME ARRONDISSEMENT;NON;2021-02-09T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.365875498655201, 48.87799999302675]}";48.877999993,2.36587549866
450072579;FONTAINE_BOIS;GHM Bois;6F;;RUE DE LA MARSEILLAISE;PARIS 19EME ARRONDISSEMENT;NON;2021-02-08T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.397812036646903, 48.887939343897]}";48.8879393439,2.39781203665
450071904;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;SQUARE DE LA TRINITE;PARIS 9EME ARRONDISSEMENT;NON;2021-02-10T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.331817166827738, 48.87688722124538]}";48.8768872212,2.33181716683
450072277;FONTAINE_BOIS;GHM Bois;;;SQUARE DE L ASPIRANT DUNAND;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.326200550995474, 48.83224283663536]}";48.8322428366,2.326200551
450072275;FONTAINE_BOIS;Wallace Bois;;;SQUARE FERDINAND BRUNOT;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""type"": ""Point"", ""coordinates"": [2.326709963393165, 48.8323786813139]}";48.8323786813,2.32670996339
450072548;FONTAINE_BOIS;GHM Bois;;35F;RUE CHARLES HERMITE;PARIS 18EME ARRONDISSEMENT;NON;2020-12-10T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.3660392053085, 48.9002493454833]}";48.9002493455,2.36603920531
450071872;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;;;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.310243230972495, 48.87943351748601]}";48.8794335175,2.31024323097
450072134;FONTAINE_BOIS;GHM Bois;;;PLACE LEON BLUM;PARIS 11EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.379919529519445, 48.85817998080755]}";48.8581799808,2.37991952952
450072560;FONTAINE_BOIS;GHM Bois;;;SQUARE DE LA BUTTE DU CHAPEAU ROUGE;PARIS 19EME ARRONDISSEMENT;NON;2020-12-02T01:00:00+00:00;;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.398590096649599, 48.88186311134737]}";48.8818631113,2.39859009665
450072654;FONTAINE_BOIS;Particulier;;;JARDIN CASQUE D OR;PARIS 20EME ARRONDISSEMENT;NON;2020-12-03T01:00:00+00:00;2021-04-30T02:00:00+00:00;FERMETURE HIVERNALE;"{""type"": ""Point"", ""coordinates"": [2.401357254908347, 48.85424462742422]}";48.8542446274,2.40135725491
